Time_step,total_new_infections,Exposed,Infected,Recovered
0,14.400000,90.000000,52.000000,71.000000
1,15025.237221,93907.732634,15383.987861,955.268078
2,12809.223725,80057.648281,26912.647648,3313.428956
3,10920.930615,68255.816345,35303.735524,6760.901940
4,9311.892414,58199.327587,41170.537383,10987.312803
5,7940.810919,49630.068245,45020.087317,15743.742448
6,6772.495348,42328.095926,47270.501599,20832.017686
7,5776.959163,36105.994768,48265.580355,26095.754663
8,4928.650445,30804.065282,48287.098585,31412.878128
9,4205.796079,26286.225493,47565.143982,36689.382527
10,3589.842917,22436.518234,46286.804528,41854.137157
11,3064.981592,19156.134949,44603.462545,46854.568325
12,2617.740741,16360.879632,42636.912637,51653.077476
13,2236.641252,13979.007823,40484.487596,56224.076311
14,1911.901628,11949.385175,38223.348072,60551.538541
15,1635.186937,10219.918354,35914.067827,64626.983744
16,1399.394877,8746.217983,33603.626042,68447.822112
17,1198.473493,7490.459328,31327.900903,72016.000186
18,1027.265834,6420.411463,29113.744078,75336.897209
19,881.377603,5508.610017,26980.703304,78418.429795
20,757.064362,4731.652259,24942.449838,81270.329393
21,651.135429,4069.596434,23007.958611,83903.562803
22,560.871988,3505.449923,21182.481437,86329.870797
23,483.957297,3024.733104,19468.347262,88561.404016
24,418.417234,2615.107712,17865.618050,90610.438722
25,362.569625,2266.060155,16372.624369,92489.157897
26,314.981067,1968.631671,14986.400900,94209.485577
27,274.430142,1715.188384,13703.038836,95782.964393
28,239.876060,1499.225374,12517.969418,97220.667975
29,210.431954,1315.199713,11426.190534,98533.141303
30,185.342112,1158.388200,10422.446362,99730.363338
